YEAR,UPC,DOLLARS,UNITS
2011,08-01-52772-00106,37260.19,13666
2011,00-01-28400-03470,37203.73,10872
2012,00-01-84114-10853,37107.05,12097
2011,00-01-41780-02356,37091.22,17382
2011,00-02-41262-28143,37081.86,15334
2012,00-01-77975-08656,37073.98,5215
2012,00-01-72600-01607,37061.48,12826
2011,00-01-77975-08731,36785.53,11922
2011,00-01-28400-07372,36759.83,9495
2011,00-02-20685-00009,36747.07,12629
2012,00-01-41262-28408,36641.17,18510
2011,00-01-41780-01111,36621.69,10506
2011,00-01-20685-18521,36396.68,9490
2012,00-01-72600-01455,36384.840000000004,11133
2012,00-08-28400-00359,36287.14,9789
2011,06-01-16676-09221,36258.74,13057
2011,08-01-29515-30200,36148.91,13237
2011,00-01-28400-05011,35994.35,15893
2011,88-04-99998-10579,35906.7,21774
2012,00-03-28400-07164,35899.75,9112
2012,00-01-28400-07132,35794.86,9113
2012,00-02-28400-08308,35762.67,7943
2012,00-02-41780-00098,35734.47,13745
2012,00-03-28400-07165,35663.24,9047
2012,00-01-30684-01704,35624.64,28563
2011,00-01-28400-06925,35622.19,15734
2012,00-01-20685-00025,35591.82,11462
2011,00-01-16000-16239,35533.82,14700
2011,88-04-99998-10794,35507.99,24454
2012,88-01-99998-85021,35507.89,20888
2011,00-01-28400-04739,35486.07,15693
2012,08-02-37654-92469,35441.77,9135
2011,00-05-28400-00210,35347.71,17838
2011,07-01-28229-34566,35321.63,9426
2012,00-01-41780-01111,35287.32,10058
2011,07-01-55355-00115,35237.13,12961
2012,00-01-41780-00328,35194.840000000004,5541
2012,00-02-41780-01345,35194.23,15443
2012,00-02-41780-00263,35167.83,5595
2011,00-02-41780-00098,35077.53,13849
2011,00-05-20685-08486,35068.0,11642
2011,00-03-28400-06408,35030.24,11676
2012,00-01-20685-18521,34891.18,9173
2012,00-01-28400-07372,34796.38,8861
2011,00-02-28400-01179,34754.28,12851
2011,00-01-37000-20918,34714.31,10383
2012,00-01-44000-02653,34560.28,12459
2011,00-01-28400-03469,34503.98,13170
2011,00-01-16000-15940,34426.58,14630
2012,88-01-99998-85025,34364.98,23844
2012,00-01-16000-15940,34301.28,14027
2011,00-01-37000-18495,34121.34,64917
2011,00-03-72600-00928,33821.37,13968
2012,00-01-37000-18495,33728.89,64261
2012,00-01-38000-59945,33723.74,11259
2011,00-04-41780-00387,33604.96,13502
2011,00-01-28400-08324,33593.96,13841
2011,00-02-64144-10730,33532.77,28081
2011,00-01-41262-28564,33484.44,7164
2011,00-01-41780-01159,33465.0,9551
2012,00-02-16000-16239,33435.22,13291
2012,00-01-84114-11391,33384.32,10684
2012,00-01-28400-06925,33300.25,14582
2012,00-01-84114-11632,33285.59,10695
2012,00-01-28400-04739,32972.63,14440
2012,00-01-82666-70080,32966.41,12734
2011,00-01-72600-00526,32759.03,14331
2012,00-02-44000-00609,32730.41,11301
2012,06-01-16676-09221,32689.99,11803
2012,00-02-41262-28150,32664.06,14353
2012,00-02-15839-00003,32618.44,11247
2011,00-01-84114-11391,32596.34,10544
2012,00-05-28400-01307,32533.87,11663
2012,00-02-41780-00231,32523.03,12246
2012,00-01-37000-21148,32421.88,10807
2011,00-01-77975-08178,32385.12,11093
2011,00-01-82666-70080,32359.48,13208
2011,00-01-41780-00328,32356.09,5231
2012,00-01-41780-02356,32283.09,13865
2011,00-02-72600-00166,32263.35,13174
2011,88-05-99998-13205,31943.62,21332
2012,00-01-37000-20918,31852.54,9279
2012,00-01-41780-02292,31826.01,8696
2011,88-04-99998-10796,31785.53,8200
2012,08-01-29515-30200,31658.01,10885
2011,00-01-41262-28426,31631.85,16524
2012,00-01-20685-07940,31573.67,9437
2011,08-01-55983-00258,31542.83,5185
2012,00-05-28400-02211,31370.16,11581
2011,00-01-44000-02653,31368.99,10027
